"Frequency", "Magnitude"
10.0, -12.307784
10.0, -12.307784
10.0, -12.307784
10.0, -12.307784
10.0, -12.307784
10.0, -12.307784
10.0, -12.307784
10.0, -12.307784
10.0, -12.307784
10.0, -12.307784
10.0, -12.307784
11.0, -13.833907
11.0, -13.833907
11.0, -13.833907
11.0, -13.833907
11.0, -13.833907
11.0, -13.833907
11.0, -13.833907
11.0, -13.833907
11.0, -13.833907
11.0, -13.833907
12.0, -15.335502
12.0, -15.335502
12.0, -15.335502
12.0, -15.335502
12.0, -15.335502
12.0, -15.335502
12.0, -15.335502
12.0, -15.335502
12.0, -15.335502
13.0, -16.810193
13.0, -16.810193
13.0, -16.810193
13.0, -16.810193
13.0, -16.810193
13.0, -16.810193
13.0, -16.810193
13.0, -16.810193
14.0, -18.255202
14.0, -18.255202
14.0, -18.255202
14.0, -18.255202
14.0, -18.255202
14.0, -18.255202
14.0, -18.255202
14.0, -18.255202
15.0, -19.666186
15.0, -19.666186
15.0, -19.666186
15.0, -19.666186
15.0, -19.666186
15.0, -19.666186
15.0, -19.666186
16.0, -21.036081
16.0, -21.036081
16.0, -21.036081
16.0, -21.036081
16.0, -21.036081
16.0, -21.036081
17.0, -22.353945
17.0, -22.353945
17.0, -22.353945
17.0, -22.353945
17.0, -22.353945
17.0, -22.353945
17.0, -22.353945
18.0, -23.603900
18.0, -23.603900
18.0, -23.603900
18.0, -23.603900
18.0, -23.603900
18.0, -23.603900
19.0, -24.764538
19.0, -24.764538
19.0, -24.764538
19.0, -24.764538
19.0, -24.764538
19.0, -24.764538
20.0, -25.809446
20.0, -25.809446
20.0, -25.809446
20.0, -25.809446
20.0, -25.809446
21.0, -26.709657
21.0, -26.709657
21.0, -26.709657
21.0, -26.709657
21.0, -26.709657
22.0, -27.438405
22.0, -27.438405
22.0, -27.438405
22.0, -27.438405
22.0, -27.438405
23.0, -27.977301
23.0, -27.977301
23.0, -27.977301
23.0, -27.977301
23.0, -27.977301
24.0, -28.321459
24.0, -28.321459
24.0, -28.321459
24.0, -28.321459
25.0, -28.480891
25.0, -28.480891
25.0, -28.480891
25.0, -28.480891
25.0, -28.480891
26.0, -28.477391
26.0, -28.477391
26.0, -28.477391
26.0, -28.477391
27.0, -28.338779
27.0, -28.338779
27.0, -28.338779
27.0, -28.338779
28.0, -28.093350
28.0, -28.093350
28.0, -28.093350
28.0, -28.093350
29.0, -27.766283
29.0, -27.766283
29.0, -27.766283
29.0, -27.766283
30.0, -27.378193
30.0, -27.378193
30.0, -27.378193
31.0, -26.945161
31.0, -26.945161
31.0, -26.945161
31.0, -26.945161
32.0, -26.479442
32.0, -26.479442
32.0, -26.479442
33.0, -25.990336
33.0, -25.990336
33.0, -25.990336
33.0, -25.990336
34.0, -25.484963
34.0, -25.484963
34.0, -25.484963
35.0, -24.968863
35.0, -24.968863
35.0, -24.968863
36.0, -24.446422
36.0, -24.446422
36.0, -24.446422
37.0, -23.921173
37.0, -23.921173
37.0, -23.921173
38.0, -23.395992
38.0, -23.395992
38.0, -23.395992
39.0, -22.873239
39.0, -22.873239
39.0, -22.873239
40.0, -22.354856
40.0, -22.354856
41.0, -21.842439
41.0, -21.842439
41.0, -21.842439
42.0, -21.337294
42.0, -21.337294
42.0, -21.337294
43.0, -20.840484
43.0, -20.840484
44.0, -20.352867
44.0, -20.352867
44.0, -20.352867
45.0, -19.875127
45.0, -19.875127
46.0, -19.407805
46.0, -19.407805
46.0, -19.407805
47.0, -18.951320
47.0, -18.951320
48.0, -18.505991
48.0, -18.505991
49.0, -18.072054
49.0, -18.072054
50.0, -17.649677
50.0, -17.649677
50.0, -17.649677
51.0, -17.238971
51.0, -17.238971
52.0, -16.839999
52.0, -16.839999
53.0, -16.452786
53.0, -16.452786
54.0, -16.077326
54.0, -16.077326
55.0, -15.713584
55.0, -15.713584
56.0, -15.361501
56.0, -15.361501
57.0, -15.020999
57.0, -15.020999
58.0, -14.691982
58.0, -14.691982
59.0, -14.374337
59.0, -14.374337
60.0, -14.067936
60.0, -14.067936
61.0, -13.772639
62.0, -13.488290
62.0, -13.488290
63.0, -13.214723
63.0, -13.214723
64.0, -12.951761
64.0, -12.951761
65.0, -12.699214
66.0, -12.456882
66.0, -12.456882
67.0, -12.224557
67.0, -12.224557
68.0, -12.002021
69.0, -11.789047
69.0, -11.789047
70.0, -11.585402
71.0, -11.390846
71.0, -11.390846
72.0, -11.205135
72.0, -11.205135
73.0, -11.028019
74.0, -10.859244
74.0, -10.859244
75.0, -10.698558
76.0, -10.545703
77.0, -10.400424
77.0, -10.400424
78.0, -10.262467
79.0, -10.131577
79.0, -10.131577
80.0, -10.007506
81.0, -9.890006
82.0, -9.778836
82.0, -9.778836
83.0, -9.673760
84.0, -9.574546
85.0, -9.480970
85.0, -9.480970
86.0, -9.392814
87.0, -9.309868
88.0, -9.231928
88.0, -9.231928
89.0, -9.158799
90.0, -9.090293
91.0, -9.026231
92.0, -8.966440
93.0, -8.910756
93.0, -8.910756
94.0, -8.859023
95.0, -8.811092
96.0, -8.766823
97.0, -8.726080
98.0, -8.688739
99.0, -8.654678
100.0, -8.623785
100.0, -8.623785
101.0, -8.595952
102.0, -8.571079
103.0, -8.549071
104.0, -8.529838
105.0, -8.513295
106.0, -8.499363
107.0, -8.487967
108.0, -8.479035
109.0, -8.472501
110.0, -8.468302
111.0, -8.466378
112.0, -8.466670
113.0, -8.469126
114.0, -8.473693
115.0, -8.480321
116.0, -8.488963
117.0, -8.499572
118.0, -8.512104
119.0, -8.526513
120.0, -8.542757
121.0, -8.560793
122.0, -8.580579
124.0, -8.625225
125.0, -8.650000
126.0, -8.676349
127.0, -8.704228
128.0, -8.733588
129.0, -8.764382
130.0, -8.796558
132.0, -8.864844
133.0, -8.900841
134.0, -8.937993
135.0, -8.976237
136.0, -9.015506
138.0, -9.096831
139.0, -9.138734
140.0, -9.181355
142.0, -9.268405
143.0, -9.312647
144.0, -9.357235
145.0, -9.402065
147.0, -9.492014
148.0, -9.536902
149.0, -9.581572
151.0, -9.669751
152.0, -9.712998
153.0, -9.755504
155.0, -9.837736
156.0, -9.877180
158.0, -9.952008
159.0, -9.987106
161.0, -10.051964
162.0, -10.081448
163.0, -10.108789
165.0, -10.156539
166.0, -10.176709
168.0, -10.209098
170.0, -10.230263
171.0, -10.236440
173.0, -10.239683
174.0, -10.236665
176.0, -10.221224
177.0, -10.208789
179.0, -10.174550
181.0, -10.128032
182.0, -10.100291
184.0, -10.036173
186.0, -9.961084
187.0, -9.919656
189.0, -9.829549
191.0, -9.730513
192.0, -9.677935
194.0, -9.567252
196.0, -9.449993
198.0, -9.327101
199.0, -9.263831
201.0, -9.134194
203.0, -9.001130
205.0, -8.865431
207.0, -8.727824
209.0, -8.588973
210.0, -8.519271
212.0, -8.379655
214.0, -8.240166
216.0, -8.101245
218.0, -7.963272
220.0, -7.826577
222.0, -7.691438
224.0, -7.558090
226.0, -7.426728
228.0, -7.297510
230.0, -7.170564
232.0, -7.045988
235.0, -6.863727
237.0, -6.745358
239.0, -6.629532
241.0, -6.516262
243.0, -6.405546
245.0, -6.297372
248.0, -6.139831
250.0, -6.037905
252.0, -5.938419
254.0, -5.841330
257.0, -5.700092
259.0, -5.608791
261.0, -5.519718
264.0, -5.390169
266.0, -5.306433
268.0, -5.224736
271.0, -5.105899
273.0, -5.029067
276.0, -4.917277
278.0, -4.844980
281.0, -4.739752
283.0, -4.671673
286.0, -4.572542
289.0, -4.476858
291.0, -4.414909
294.0, -4.324637
296.0, -4.266163
299.0, -4.180912
302.0, -4.098497
305.0, -4.018795
307.0, -3.967108
310.0, -3.891667
313.0, -3.818634
316.0, -3.747906
319.0, -3.679386
321.0, -3.634884
324.0, -3.569835
327.0, -3.506753
330.0, -3.445555
333.0, -3.386164
336.0, -3.328507
339.0, -3.272511
342.0, -3.218112
345.0, -3.165244
349.0, -3.097033
352.0, -3.047509
355.0, -2.999327
358.0, -2.952434
361.0, -2.906781
365.0, -2.847760
368.0, -2.804824
371.0, -2.762980
375.0, -2.708819
378.0, -2.669373
381.0, -2.630892
385.0, -2.581029
388.0, -2.544671
392.0, -2.497523
395.0, -2.463119
399.0, -2.418472
403.0, -2.375165
406.0, -2.343528
410.0, -2.302426
414.0, -2.262507
417.0, -2.233313
421.0, -2.195343
425.0, -2.158422
429.0, -2.122504
433.0, -2.087548
437.0, -2.053513
441.0, -2.020361
445.0, -1.988056
449.0, -1.956563
453.0, -1.925849
457.0, -1.895883
461.0, -1.866635
465.0, -1.838076
469.0, -1.810179
474.0, -1.776198
478.0, -1.749697
482.0, -1.723777
486.0, -1.698417
491.0, -1.667470
495.0, -1.643291
500.0, -1.613758
504.0, -1.590661
509.0, -1.562425
513.0, -1.540323
518.0, -1.513278
523.0, -1.486853
528.0, -1.461019
532.0, -1.440761
537.0, -1.415927
542.0, -1.391614
547.0, -1.367800
552.0, -1.344463
557.0, -1.321584
562.0, -1.299142
567.0, -1.277119
572.0, -1.255500
577.0, -1.234268
582.0, -1.213407
588.0, -1.188845
593.0, -1.168754
598.0, -1.148992
604.0, -1.125697
609.0, -1.106622
615.0, -1.084121
620.0, -1.065685
626.0, -1.043926
632.0, -1.022554
637.0, -1.005031
643.0, -0.984339
649.0, -0.964005
655.0, -0.944020
661.0, -0.924380
667.0, -0.905077
673.0, -0.886109
679.0, -0.867472
685.0, -0.849165
691.0, -0.831186
697.0, -0.813535
704.0, -0.793360
710.0, -0.776427
716.0, -0.759828
723.0, -0.740893
729.0, -0.725036
736.0, -0.706979
743.0, -0.689410
749.0, -0.674748
756.0, -0.658116
763.0, -0.642009
770.0, -0.626440
777.0, -0.611427
784.0, -0.596986
791.0, -0.583134
798.0, -0.569889
805.0, -0.557272
