"Frequency", "Magnitude"
10.0, -0.844387
10.0, -0.844387
10.0, -0.844387
10.0, -0.844387
10.0, -0.844387
10.0, -0.844387
10.0, -0.844387
10.0, -0.844387
10.0, -0.844387
10.0, -0.844387
10.0, -0.844387
11.0, -1.084832
11.0, -1.084832
11.0, -1.084832
11.0, -1.084832
11.0, -1.084832
11.0, -1.084832
11.0, -1.084832
11.0, -1.084832
11.0, -1.084832
11.0, -1.084832
12.0, -1.380138
12.0, -1.380138
12.0, -1.380138
12.0, -1.380138
12.0, -1.380138
12.0, -1.380138
12.0, -1.380138
12.0, -1.380138
12.0, -1.380138
13.0, -1.743712
13.0, -1.743712
13.0, -1.743712
13.0, -1.743712
13.0, -1.743712
13.0, -1.743712
13.0, -1.743712
13.0, -1.743712
14.0, -2.192824
14.0, -2.192824
14.0, -2.192824
14.0, -2.192824
14.0, -2.192824
14.0, -2.192824
14.0, -2.192824
14.0, -2.192824
15.0, -2.749719
15.0, -2.749719
15.0, -2.749719
15.0, -2.749719
15.0, -2.749719
15.0, -2.749719
15.0, -2.749719
16.0, -3.443034
16.0, -3.443034
16.0, -3.443034
16.0, -3.443034
16.0, -3.443034
16.0, -3.443034
17.0, -4.309605
17.0, -4.309605
17.0, -4.309605
17.0, -4.309605
17.0, -4.309605
17.0, -4.309605
17.0, -4.309605
18.0, -5.396744
18.0, -5.396744
18.0, -5.396744
18.0, -5.396744
18.0, -5.396744
18.0, -5.396744
19.0, -6.764967
19.0, -6.764967
19.0, -6.764967
19.0, -6.764967
19.0, -6.764967
19.0, -6.764967
20.0, -8.490075
20.0, -8.490075
20.0, -8.490075
20.0, -8.490075
20.0, -8.490075
21.0, -10.657334
21.0, -10.657334
21.0, -10.657334
21.0, -10.657334
21.0, -10.657334
22.0, -13.308170
22.0, -13.308170
22.0, -13.308170
22.0, -13.308170
22.0, -13.308170
23.0, -16.161635
23.0, -16.161635
23.0, -16.161635
23.0, -16.161635
23.0, -16.161635
24.0, -17.929544
24.0, -17.929544
24.0, -17.929544
24.0, -17.929544
25.0, -17.510237
25.0, -17.510237
25.0, -17.510237
25.0, -17.510237
25.0, -17.510237
26.0, -16.303521
26.0, -16.303521
26.0, -16.303521
26.0, -16.303521
27.0, -15.525210
27.0, -15.525210
27.0, -15.525210
27.0, -15.525210
28.0, -15.480497
28.0, -15.480497
28.0, -15.480497
28.0, -15.480497
29.0, -16.240127
29.0, -16.240127
29.0, -16.240127
29.0, -16.240127
30.0, -17.836507
30.0, -17.836507
30.0, -17.836507
31.0, -20.026897
31.0, -20.026897
31.0, -20.026897
31.0, -20.026897
32.0, -21.250709
32.0, -21.250709
32.0, -21.250709
33.0, -19.803453
33.0, -19.803453
33.0, -19.803453
33.0, -19.803453
34.0, -17.588334
34.0, -17.588334
34.0, -17.588334
35.0, -16.056836
35.0, -16.056836
35.0, -16.056836
36.0, -15.433817
36.0, -15.433817
36.0, -15.433817
37.0, -15.656035
37.0, -15.656035
37.0, -15.656035
